55-1252295,Kaitlyn,Branscomb,5
93-1879107,Lena,Cruikshanks,10
36-3817825,Giffie,Kits,10
05-7833088,Fidelia,Wimbush,5
40-1940338,Sibyl,Sleford,9
17-5708059,Dasie,Cottell,8
08-8654340,Kelsey,Duinbleton,7
29-2103975,Niki,Jaquet,4
30-5320220,Karyl,Entissle,6
06-0382547,Graig,Cowern,4
81-4188982,Delphine,Althrope,9
24-5000010,Alasdair,Skirven,7
66-9254820,Chance,Tebbs,6
81-4152356,Ulrich,McGaugey,4
99-2475260,Candie,Schapiro,5
46-8341759,Ricki,Gow,5
15-8817515,Calida,Sporgeon,6
14-3258676,Sheryl,Storer,5
58-9470759,Lorry,Daton,9
74-4696499,Hamnet,Dreinan,7
35-9704537,Beltran,Frost,5
14-6141735,Maxie,O'Fergus,8
16-3865894,Trueman,Neilands,9
02-9435361,Craggie,Smeal,5
01-6830538,Carny,Hayball,4
88-7050753,Cecily,Hitzschke,10
19-1697893,Frances,Sabban,9
14-1366059,Lyssa,Franzolini,5
93-9855554,Foster,Filipponi,6
33-7440181,Cynthia,McCaughren,5
16-5455104,Nicola,Claesens,7
65-4379559,Ellsworth,Rough,9
89-2378088,Gannie,Ownsworth,8
59-5368177,Ardelia,Eisenberg,10
30-7287627,Farleigh,Strickler,6
72-1201087,Danna,Shimmin,6
88-6542152,Sumner,Player,5
71-6601321,Veronika,Ralling,7
80-4828015,El,Shakespeare,10
08-5425207,Cull,Geerits,10
26-7782222,Kimmy,Bilbrook,10
52-9953277,Silas,Sheehan,4
94-2758447,Gabie,Greenhaugh,4
45-1560903,Ramon,Jozefiak,5
80-4885858,Valencia,Raynes,10
70-6053494,Jeralee,Quogan,5
84-0633642,Antons,Lowman,4
15-5166079,Ceil,Oram,6
61-4913135,Evonne,Pettipher,9
87-7385752,Iris,Bortolussi,7
45-8745995,Freddy,Davsley,4
71-7820322,Michaelina,Graine,6
47-0399400,Dominick,Savary,9
83-2025014,Karie,Bagehot,6
45-9074470,Munmro,Bransgrove,10
18-0208128,Ewen,Haizelden,10
15-0166028,Gray,Skace,5
24-7600533,Lucas,Stud,5
35-5638026,Iolanthe,Abrahamian,10
37-4790381,Verge,Hune,5
96-4460007,Natty,Arnholdt,7
52-1142113,Nestor,Fairbairn,8
15-6844467,Camille,Chartre,5
51-0489755,Agnes,Labro,5
26-9025669,Babita,Lowfill,9
09-1077806,Wanda,Snaith,4
88-3467865,Valery,Swayte,7
51-1566942,Boonie,Casali,5
27-6267600,Mehetabel,Fossett,4
35-4121760,Suzette,O'Sharry,6
26-2988522,Mead,Rosa,6
19-8880389,Muhammad,Long,8
95-6652617,Joell,Glassard,5
39-4562787,Corena,McIleen,6
63-8609253,Pietro,Goodlake,10
91-2666681,Celestia,Sherreard,10
68-9488242,Kenneth,Prowting,4
42-2082652,Harlen,Goward,10
90-7957449,Dory,Reeveley,4
16-3709756,Margy,Hawkett,4
37-8217114,Fayina,Kermott,6
92-0927346,Pavlov,Eyckel,8
59-8779317,Karee,Beach,9
92-9904325,Alf,Farrey,5
55-6669362,Becka,Pollins,5
32-1532258,Elden,Lightbowne,9
09-9913364,Bobina,Kuhnwald,10
34-4922763,Calhoun,Losemann,4
15-4226033,Elicia,Ballantyne,7
88-4453027,Ebony,Purseglove,10
43-1172706,Edy,Crawford,8
97-0202874,Hamilton,Branney,8
77-7624698,Remy,Houson,4
19-1656063,Mag,Burk,8
30-4942126,Rivkah,Gair,10
01-5046516,Randolph,Dagg,4
14-4145747,Margette,Ogbourne,6
51-4654634,Fairfax,De Ortega,8
77-4363147,Donella,Conkey,5
21-6774796,Gasper,Byard,4
46-8290917,Ave,Minget,8
96-8784677,Janeczka,Shepherdson,9
58-0396578,Gianni,Derges,9
40-8492270,Abbie,Wodham,4
89-1986583,Otes,Fyfield,8
31-6231680,Sammie,Skettles,10
70-8798491,Lou,Suggey,6
53-3538351,Carlo,Klus,7
27-5203957,Colman,Faloon,6
09-4914022,Woody,Charman,8
76-5362578,Pippo,Gascoyen,7
61-8670494,Dolorita,Ciubutaro,4
02-7805953,Gweneth,Robroe,10
71-6241558,Jim,Polgreen,7
06-3122131,Gratiana,Cuolahan,9
94-3382248,Rosanna,Pere,5
02-5993215,Sarette,Hannibal,7
36-4468733,Marchall,Easterbrook,10
87-4436297,Wini,Yglesia,8
61-2079196,Karlen,Reven,4
94-4835405,Andris,Barnaclough,9
83-5182148,Ginger,Andrini,8
39-8398970,Georgie,Durtnal,8
42-5246758,Armstrong,Lynock,7
59-4821143,Lothaire,McDiarmid,6
02-6644452,Hillard,Blancowe,4
32-0945635,Marris,Orris,7
77-7067071,Brew,Gateley,4
21-3063937,Marketa,Riccardo,6
81-5322334,Ame,Hourstan,6
94-9473429,Erskine,Wrinch,8
60-6050363,Mireille,Shillabear,7
68-1860041,Andreas,Clough,8
71-2767765,Timmi,de Guerre,6
79-8350375,Chad,Schulke,7
58-5078983,Delmore,Kinnerley,10
18-1451554,Rodrigo,Rickersey,10
10-5250051,Marley,Adamczyk,6
27-8395645,Bastian,Pepys,9
60-2256369,Barbara,Soars,9
79-4656083,Tris,Hincham,5
46-1002552,Myrtle,Krzysztofiak,8
